date,kWh
2015-09-01,286.01300000000003
2015-09-02,681.646
2015-09-03,647.906
2015-09-04,102.448
2015-09-05,93.432
2015-09-06,367.626
2015-09-07,574.996
2015-09-08,489.81399999999996
2015-09-09,732.002
2015-09-10,628.674
2015-09-11,865.4
2015-09-12,847.222
2015-09-13,252.419
2015-09-14,101.893
2015-09-15,618.7429999999999
2015-09-16,536.642
2015-09-17,713.21
2015-09-18,450.00600000000003
2015-09-21,360.666
2015-09-22,788.327
2015-09-23,752.228
2015-09-24,368.19399999999996
2015-09-25,714.242
2015-09-26,626.555
2015-09-27,748.418
2015-09-28,803.706
2015-09-29,577.596
2015-09-30,745.722
2015-10-01,1134.7450000000001
2015-10-02,643.011
2015-10-03,66.554
2015-10-04,191.079
2015-10-05,734.987
2015-10-06,280.78499999999997
2015-10-07,584.937
2015-10-08,652.736
2015-10-09,292.794
2015-10-10,658.53
2015-10-11,697.2520000000001
2015-10-12,391.322
2015-10-13,533.41
2015-10-14,676.295
2015-10-15,683.74
2015-10-16,553.5
2015-10-17,626.265
2015-10-18,404.164
2015-10-19,451.094
2015-10-20,584.479
2015-10-21,531.2810000000001
2015-10-22,379.576
2015-10-23,299.78000000000003
2015-10-24,340.932
2015-10-25,534.366
2015-10-26,354.112
2015-10-27,549.956
2015-10-28,534.956
2015-10-29,330.468
2015-10-30,262.93899999999996
2015-10-31,108.104
2015-11-01,132.539
2015-11-02,9.812000000000001
2015-11-03,79.601
2015-11-04,335.766
2015-11-05,207.451
2015-11-06,396.634
2015-11-07,142.942
2015-11-08,344.87
2015-11-09,0.0
2015-11-10,9.565999999999999
2015-11-11,89.129
2015-11-12,204.616
2015-11-13,227.792
2015-11-14,130.51
2015-11-15,224.177
2015-11-16,191.714
2015-11-17,118.22099999999999
2015-11-18,11.264000000000001
2015-11-19,15.024
2015-11-20,14.305
2015-11-21,51.476
2015-11-22,181.191
2015-11-23,119.21399999999998
2015-11-24,25.838
2015-11-25,93.767
2015-11-26,184.546
2015-11-27,200.076
2015-11-28,200.586
2015-11-29,182.796
2015-11-30,177.501
2015-12-01,164.016
2015-12-02,97.701
2015-12-03,118.454
2015-12-04,90.506
2015-12-05,67.713
2015-12-06,117.917
2015-12-07,65.678
2015-12-08,76.651
2015-12-09,55.418
2015-12-10,59.28
2015-12-11,13.222
2015-12-12,57.418
2015-12-13,65.391
2015-12-14,23.823
2015-12-15,101.129
2015-12-16,0.001
2015-12-17,0.003
2015-12-19,0.005
2015-12-21,22.451
2015-12-22,186.845
2015-12-23,126.29599999999999
2015-12-24,2.381
2015-12-25,6.834
2015-12-26,7.459
2015-12-27,1.702
2015-12-28,0.0
2015-12-29,0.007
2015-12-30,0.142
2015-12-31,194.52100000000002
2016-01-01,233.553
2016-01-02,237.304
2016-01-03,235.67
2016-01-04,147.112
2016-01-05,80.477
2016-01-06,59.23
2016-01-07,0.8360000000000001
2016-01-08,6.16
2016-01-09,7.599
2016-01-10,3.1719999999999997
2016-01-11,1.5750000000000002
2016-01-12,92.855
2016-01-13,118.824
2016-01-14,24.319
2016-01-15,16.251
2016-01-16,8.861
2016-01-17,38.883
2016-01-18,193.94400000000002
2016-01-19,125.455
2016-01-20,90.93
2016-01-21,102.155
2016-01-22,102.475
2016-01-23,121.7
2016-01-24,4.567
2016-01-25,26.554
2016-01-26,66.264
2016-01-27,182.596
2016-01-28,186.862
2016-01-29,209.66
2016-01-30,126.9
2016-01-31,229.12
2016-02-01,289.105
2016-02-02,219.039
2016-02-03,314.366
2016-02-04,229.771
2016-02-05,87.558
2016-02-06,275.47
2016-02-09,318.806
2016-02-10,193.933
2016-02-11,376.56800000000004
2016-02-12,45.689
2016-02-13,406.14
2016-02-14,466.36899999999997
2016-02-15,564.38
2016-02-16,459.576
2016-02-17,243.53199999999998
2016-02-18,164.641
2016-02-19,470.284
2016-02-20,332.944
2016-02-21,645.0219999999999
2016-02-22,647.327
2016-02-23,371.324
2016-02-24,575.808
2016-02-25,652.752
2016-02-26,404.884
2016-02-27,208.537
2016-02-28,184.807
2016-02-29,395.47700000000003
2016-03-01,511.031
2016-03-02,157.888
2016-03-03,764.744
2016-03-04,510.104
2016-03-05,526.211
2016-03-06,268.907
2016-03-07,733.976
2016-03-08,506.61199999999997
2016-03-09,684.683
2016-03-10,795.401
2016-03-11,754.6129999999999
2016-03-12,373.241
2016-03-13,819.328
2016-03-14,408.395
2016-03-15,491.186
2016-03-16,527.85
2016-03-17,356.525
2016-03-18,876.404
2016-03-19,837.261
2016-03-20,721.7130000000001
2016-03-21,469.665
2016-03-22,485.301
2016-03-23,803.2860000000001
2016-03-24,469.986
2016-03-25,513.074
2016-03-26,831.171
2016-03-27,662.164
2016-03-28,521.0129999999999
2016-03-29,928.304
2016-03-30,266.204
2016-03-31,529.235
2016-04-01,895.751
2016-04-02,765.847
2016-04-03,745.207
2016-04-04,343.992
2016-04-05,774.741
2016-04-06,903.111
2016-04-07,939.8580000000001
2016-04-08,681.558
2016-04-09,716.242
2016-04-10,715.389
2016-04-11,814.576
2016-04-12,598.603
2016-04-13,745.822
2016-04-14,343.24
2016-04-15,970.763
2016-04-16,933.158
2016-04-17,960.482
2016-04-18,989.01
2016-04-19,937.718
2016-04-20,961.4590000000001
2016-04-21,884.307
2016-04-22,737.069
2016-04-23,162.47299999999998
2016-04-24,230.354
2016-04-25,207.244
2016-04-26,523.502
2016-04-27,830.124
2016-04-28,721.284
2016-04-29,733.514
2016-04-30,474.711
2016-05-01,998.069
2016-05-02,1035.401
2016-05-03,1015.46
2016-05-04,943.999
2016-05-05,377.186
2016-05-06,1073.4470000000001
2016-05-07,1057.232
2016-05-08,694.5120000000001
2016-05-09,448.53000000000003
2016-05-10,691.222
2016-05-11,839.167
2016-05-12,201.859
2016-05-13,766.195
2016-05-14,1067.844
2016-05-15,1048.701
2016-05-17,492.422
2016-05-18,897.641
2016-05-19,306.275
2016-05-20,560.763
2016-05-21,245.535
2016-05-22,269.662
2016-05-23,334.549
2016-05-24,954.128
2016-05-25,916.574
2016-05-26,769.848
2016-05-27,481.46
2016-05-28,945.6469999999999
2016-05-29,792.0310000000001
2016-05-30,907.392
2016-05-31,1021.597
2016-06-01,582.04
2016-06-02,836.928
2016-06-03,1095.057
2016-06-04,990.306
2016-06-05,1077.796
2016-06-06,983.946
2016-06-07,1049.025
2016-06-08,669.543
2016-06-09,960.744
2016-06-10,322.464
2016-06-11,909.522
2016-06-12,1139.865
2016-06-13,978.447
2016-06-14,553.402
2016-06-15,1159.221
2016-06-16,746.771
2016-06-17,1016.575
2016-06-18,675.0360000000001
2016-06-19,922.418
2016-06-20,1074.163
2016-06-21,902.913
2016-06-22,735.433
2016-06-23,845.038
2016-06-24,492.74
2016-06-25,633.3380000000001
2016-06-26,785.59
2016-06-27,1011.097
2016-06-28,747.812
2016-06-29,1051.762
2016-06-30,663.569
2016-07-01,858.9449999999999
2016-07-02,795.352
2016-07-03,740.8870000000001
2016-07-04,692.401
2016-07-05,593.275
2016-07-06,575.397
2016-07-07,886.423
2016-07-08,976.136
2016-07-09,490.25
2016-07-10,712.341
2016-07-11,619.949
2016-07-12,463.118
2016-07-13,458.376
2016-07-14,590.621
2016-07-15,209.308
2016-07-16,511.663
2016-07-17,357.833
2016-07-18,957.612
2016-07-19,1067.802
2016-07-20,1063.359
2016-07-21,1055.931
2016-07-22,503.799
2016-07-23,891.883
2016-07-24,1046.484
2016-07-25,842.009
2016-07-26,757.441
2016-07-27,668.396
2016-07-28,889.951
2016-07-29,1034.608
2016-07-30,909.966
2016-07-31,646.454
2016-08-01,1044.318
2016-08-02,934.77
2016-08-03,315.673
2016-08-04,943.903
2016-08-05,984.063
2016-08-06,206.902
2016-08-07,593.09
2016-08-08,667.651
2016-08-09,832.13
2016-08-10,308.783
2016-08-11,561.1899999999999
2016-08-12,739.464
2016-08-13,732.102
2016-08-14,753.5219999999999
2016-08-15,935.818
2016-08-16,935.552
2016-08-17,466.60200000000003
2016-08-18,290.207
2016-08-19,927.518
2016-08-20,873.546
2016-08-21,918.015
2016-08-22,513.89
2016-08-23,336.02
2016-08-24,853.65
2016-08-25,507.853
2016-08-26,937.464
2016-08-27,367.419
2016-08-28,390.297
2016-08-29,640.242
2016-08-30,868.961
2016-08-31,673.916
2016-09-01,842.6899999999999
2016-09-02,424.154
2016-09-03,763.0360000000001
2016-09-04,444.856
2016-09-05,714.015
2016-09-06,402.72299999999996
2016-09-07,773.451
2016-09-08,443.679
2016-09-09,890.312
2016-09-10,547.038
2016-09-11,344.729
2016-09-12,658.183
2016-10-03,12.549
2016-10-04,48.581
2016-10-05,32.333
2016-10-06,314.302
2016-10-07,47.457
