date,EnergyMWh,DemandMW,year,month,dayofyear,dayofweek,weekofyear,quarterofyear,is_weekend,season,Energy_rolling30,DeficitMW
2020-01-01,193.486914761184,25247.32587238724,2020,1,1,2,1,1,0,Winter,,25053.838957626056
2020-01-02,209.657191224096,25549.717226622663,2020,1,2,3,1,1,0,Winter,,25340.06003539857
2020-01-03,106.91491001875201,25544.644735148515,2020,1,3,4,1,1,0,Winter,,25437.72982512976
2020-01-04,388.1284633543681,22728.930481848183,2020,1,4,5,1,1,1,Winter,,22340.802018493814
2020-01-05,515.2928622367681,22551.208440869086,2020,1,5,6,1,1,1,Winter,,22035.915578632317
2020-01-06,481.4601738312961,25651.52516061606,2020,1,6,0,2,1,0,Winter,,25170.064986784764
2020-01-07,138.053598053184,25424.41921342134,2020,1,7,1,2,1,0,Winter,,25286.36561536816
2020-01-08,506.86691095497605,25552.144893014298,2020,1,8,2,2,1,0,Winter,,25045.27798205932
2020-01-09,259.45676625369606,25331.90557508251,2020,1,9,3,2,1,0,Winter,,25072.448808828813
2020-01-10,651.06011101824,25600.255911441145,2020,1,10,4,2,1,0,Winter,,24949.195800422905
2020-01-11,531.7456536342721,22625.369515401537,2020,1,11,5,2,1,1,Winter,,22093.623861767264
2020-01-12,537.3553440720962,22506.402357535753,2020,1,12,6,2,1,1,Winter,,21969.047013463656
2020-01-13,301.803506680896,25359.60800330033,2020,1,13,0,3,1,0,Winter,,25057.804496619436
2020-01-14,277.2562528391041,25677.54069279428,2020,1,14,1,3,1,0,Winter,,25400.284439955176
2020-01-15,166.41532636502404,25445.180394664465,2020,1,15,2,3,1,0,Winter,,25278.765068299443
2020-01-16,270.1922466260161,25532.70073129813,2020,1,16,3,3,1,0,Winter,,25262.508484672115
2020-01-17,244.40234535446405,25528.996481848182,2020,1,17,4,3,1,0,Winter,,25284.594136493717
2020-01-18,465.1005374199362,22333.15358608361,2020,1,18,5,3,1,1,Winter,,21868.05304866367
2020-01-19,717.7913237024641,22742.75736028603,2020,1,19,6,3,1,1,Winter,,22024.966036583566
2020-01-20,704.8654375942081,25348.299464246422,2020,1,20,0,4,1,0,Winter,,24643.434026652212
2020-01-21,622.1383199412481,25674.49541171617,2020,1,21,1,4,1,0,Winter,,25052.35709177492
2020-01-22,568.338396180192,25471.32687733773,2020,1,22,2,4,1,0,Winter,,24902.98848115754
2020-01-23,259.42086367718406,25947.22380830583,2020,1,23,3,4,1,0,Winter,,25687.802944628645
2020-01-24,250.40530843257602,25719.614516226622,2020,1,24,4,4,1,0,Winter,,25469.209207794047
2020-01-25,629.201890443456,23041.773916941693,2020,1,25,5,4,1,1,Winter,,22412.572026498237
2020-01-26,406.38100211280005,23109.08275357536,2020,1,26,6,4,1,1,Winter,,22702.70175146256
2020-01-27,643.6708902043201,25704.089260451045,2020,1,27,0,5,1,0,Winter,,25060.418370246723
2020-01-28,139.76716180204804,25752.87442684268,2020,1,28,1,5,1,0,Winter,,25613.107265040635
2020-01-29,700.7515426074241,25538.95131160616,2020,1,29,2,5,1,0,Winter,,24838.199768998737
2020-01-30,645.6998214881281,25773.39642051705,2020,1,30,3,5,1,0,Winter,417.7693690961473,25127.69659902892
2020-01-31,737.466981337152,25890.3156650165,2020,1,31,4,5,1,0,Winter,435.90203798201287,25152.84868367935
2020-02-01,116.93120601254401,24575.773106160617,2020,2,32,5,5,1,1,Winter,432.8111718082945,24458.841900148072
2020-02-02,594.5301100252802,24433.59785753575,2020,2,33,6,5,1,1,Winter,449.0650118085121,23839.06774751047
2020-02-03,960.9042262786561,27744.583240374035,2020,2,34,0,6,1,0,Winter,468.1575372393217,26783.679014095378
2020-02-04,1032.3915717867842,28148.075961771174,2020,2,35,1,6,1,0,Winter,485.39416089098887,27115.684389984388
2020-02-05,883.4452888757763,27879.477028052806,2020,2,36,2,6,1,0,Winter,498.7936647258049,26996.03173917703
2020-02-06,753.9279640992002,27983.236083058306,2020,2,37,3,6,1,0,Winter,519.3228102606721,27229.308118959107
2020-02-07,947.3035111594562,27848.73452777778,2020,2,38,4,6,1,0,Winter,534.0040302674881,26901.431016618324
2020-02-08,1025.8676727805441,24978.599670242023,2020,2,39,5,6,1,1,Winter,559.5510604850497,23952.73199746148
