date,hour,month,dayofyear,year,energy_Generated,Energy_lag_day,Energy_lag_week,Energy_lag_two_week,Energy_rollingmean_day,Energy_rollingstd_day,Season,timeofday
2018-01-19,9,1,19,2018,74.292,0.71,9.682,1.317,139.396375,171.3178060759574,0,1
2018-01-19,10,1,19,2018,207.277,0.714,0.028,1.324,148.00316666666666,169.22358749882068,0,1
2018-01-19,11,1,19,2018,495.371,0.716,0.008,1.331,168.61379166666666,180.267684108451,0,2
2018-01-19,12,1,19,2018,693.193,0.712,11.998,1.361,197.46716666666666,205.83129358935358,0,2
2018-01-19,13,1,19,2018,679.806,9.162,49.885999999999996,1.386,225.41066666666666,223.88678878332715,0,2
2018-01-19,14,1,19,2018,505.059,62.277,113.304,1.388,243.85991666666666,228.0640039580645,0,2
2018-01-19,15,1,19,2018,175.37,105.55900000000001,100.84,1.383,246.76870833333336,226.66428222209836,0,2
2018-01-19,16,1,19,2018,26.054000000000002,307.053,125.638,1.374,235.0604166666667,230.63756581662676,0,2
2018-01-19,17,1,19,2018,0.876,287.68,95.583,1.372,223.11025000000004,235.17809721963442,0,3
2018-01-19,18,1,19,2018,0.771,140.88400000000001,28.448,1.485,217.27220833333334,239.01578634802223,0,3
2018-01-19,19,1,19,2018,0.778,164.75900000000001,3.806,2.179,210.43966666666668,242.89452524119378,0,3
2018-01-19,20,1,19,2018,0.769,104.286,0.109,4.561999999999999,206.12645833333332,245.7636683930279,0,3
2018-01-19,21,1,19,2018,0.769,11.911999999999999,0.113,7.012,205.66216666666665,246.15673801474125,0,0
2018-01-19,22,1,19,2018,0.768,1.046,0.108,5.576,205.65058333333332,246.16679155329808,0,0
2018-01-19,23,1,19,2018,0.783,23.732,0.108,4.420999999999999,204.694375,246.9474917588427,0,0
2018-01-20,0,1,20,2018,0.785,105.58,0.109,1.726,200.32791666666665,249.68747906636102,0,0
2018-01-20,1,1,20,2018,0.774,325.19,0.108,0.663,186.8105833333333,251.40943933109463,0,0
2018-01-20,2,1,20,2018,0.778,583.61,0.11,0.544,162.52591666666666,239.2705133091208,0,0
2018-01-20,3,1,20,2018,0.778,560.289,0.111,0.538,139.21295833333332,225.7029374946056,0,0
2018-01-20,4,1,20,2018,0.775,306.909,0.11,0.537,126.45737500000001,224.4607020920051,0,0
2018-01-20,5,1,20,2018,0.768,136.795,0.111,0.538,120.78958333333334,225.90108799551624,0,0
2018-01-20,6,1,20,2018,0.793,28.534999999999997,0.11,0.558,119.63366666666667,226.46394666982945,0,0
