date,kWh
2020-01-01,2220.359
2020-01-02,2405.921
2020-01-03,1226.902
2020-01-04,4453.968
2020-01-05,5913.243
2020-01-06,5524.996
2020-01-07,1584.234
2020-01-08,5816.5509999999995
2020-01-09,2977.396
2020-01-10,7471.24
2020-01-11,6102.0470000000005
2020-01-12,6166.421
2020-01-13,3463.346
2020-01-14,3181.654
2020-01-15,1909.699
2020-01-16,3100.591
2020-01-17,2804.639
2020-01-18,5337.261
2020-01-19,8237.014
2020-01-20,8088.683
2020-01-21,7139.348
2020-01-22,6521.967
2020-01-23,2976.984
2020-01-24,2873.526
2020-01-25,7220.406
2020-01-26,4663.425
2020-01-27,7386.445
2020-01-28,1603.898
2020-01-29,8041.474
2020-01-30,7409.728
2020-01-31,8462.802
2020-02-01,1341.844
2020-02-02,6822.53
2020-02-03,11026.856
2020-02-04,11847.209
2020-02-05,10137.976
2020-02-06,8651.7
2020-02-07,10870.781
2020-02-08,11772.344
2020-02-09,8283.655
2020-02-10,9745.924
2020-02-11,11091.346
2020-02-12,10129.422
2020-02-13,8911.004
2020-02-14,1142.822
2020-02-15,7804.7570000000005
2020-02-16,6540.551
2020-02-17,11524.011
2020-02-18,11253.615
2020-02-19,7959.786
2020-02-20,10601.692
2020-02-21,9766.736
2020-02-22,6083.517
2020-02-23,9598.187
2020-02-24,2515.794
2020-02-25,5655.214
2020-02-26,7344.704
2020-02-27,11131.213
2020-02-28,11755.395
2020-02-29,11385.51
2020-03-01,11156.795
2020-03-02,11608.781
2020-03-03,855.28
2020-03-04,9035.612
2020-03-05,12530.798
2020-03-06,11568.057999999999
2020-03-07,11286.195
2020-03-08,10550.59
2020-03-09,10611.338
2020-03-10,9665.087
2020-03-11,10083.727
2020-03-12,11395.323
2020-03-13,11519.168
2020-03-14,11267.651
2020-03-15,5429.363
2020-03-16,6791.617
2020-03-17,1614.437
2020-03-18,6880.46
2020-03-19,11564.489
2020-03-20,9688.116
2020-03-21,6478.535
2020-03-22,10024.172
2020-03-23,11521.293
2020-03-24,10955.896
2020-03-25,9244.544
2020-03-26,5929.96
2020-03-27,3879.6549999999997
2020-03-28,8473.117
2020-03-29,12018.468
2020-03-30,9339.239
2020-03-31,2757.607
2020-04-01,6546.119
2020-04-02,4634.115
2020-04-03,10692.128
2020-04-04,8169.879
2020-04-05,10811.389
2020-04-06,11776.236
2020-04-07,9506.844000000001
2020-04-08,4994.702
2020-04-09,3830.168
2020-04-10,11452.076000000001
2020-04-11,9756.964
2020-04-12,12225.249
2020-04-13,11741.341
2020-04-14,7095.412
2020-04-15,7858.146
2020-04-16,9409.05
2020-04-17,8492.49
2020-04-18,6058.454
2020-04-19,4426.928
2020-04-20,7802.742
2020-04-21,11630.596
2020-04-22,9615.553
2020-04-23,11611.613
2020-04-24,11425.618
2020-04-25,10331.535
2020-04-26,4475.905
2020-04-27,9426.529
2020-04-28,11367.112
2020-04-29,11147.639
2020-04-30,11816.025
2020-05-01,11388.77
2020-05-02,11421.14
2020-05-03,10084.317
2020-05-04,7008.744
2020-05-05,8262.108
2020-05-06,11154.798
2020-05-07,7591.878
2020-05-08,9840.438
2020-05-09,8420.026
2020-05-10,2933.2690000000002
2020-05-11,10030.719
2020-05-12,8527.324
2020-05-13,8316.089
2020-05-14,10795.901
2020-05-15,10782.634
2020-05-16,8464.982
2020-05-17,9023.836
2020-05-18,7735.772
2020-05-19,5244.002
2020-05-20,8160.809
2020-05-21,3145.461
2020-05-22,8404.836
2020-05-23,10266.938
2020-05-24,9366.648
2020-05-25,9543.245
2020-05-26,9288.13
2020-05-27,8477.392
2020-05-28,5609.4890000000005
2020-05-29,5648.356
2020-05-30,10070.375
2020-05-31,9539.189
2020-06-01,4385.134
2020-06-02,7136.251
2020-06-03,6456.173
2020-06-04,4903.027
2020-06-05,6604.864
2020-06-06,6073.302
2020-06-07,9602.833
2020-06-08,9078.74
2020-06-09,5793.056
2020-06-10,1090.471
2020-06-11,5765.551
2020-06-12,5035.9
2020-06-13,6421.816
2020-06-14,6266.946
2020-06-15,3129.469
2020-06-16,8761.776
2020-06-17,9017.005
2020-06-18,6168.923
2020-06-19,8371.849
2020-06-20,4602.856
2020-06-21,5010.349
2020-06-22,8380.23
2020-06-23,8077.843
2020-06-24,7112.072
2020-06-25,6855.686
2020-06-26,3978.446
2020-06-27,4118.219
2020-06-28,6711.933
2020-06-29,2330.339
2020-06-30,2073.421
2020-07-01,682.53
2020-07-02,1075.428
2020-07-03,1164.033
2020-07-04,5155.872
2020-07-05,1432.654
2020-07-06,3891.933
2020-07-07,2459.066
2020-07-08,1178.589
2020-07-09,1831.156
2020-07-10,2815.449
2020-07-11,4270.356
2020-07-12,8356.13
2020-07-13,3903.216
2020-07-14,1571.531
2020-07-15,3382.889
2020-07-16,2879.33
2020-07-17,2349.557
2020-07-18,949.582
2020-07-19,0.717
2020-07-20,972.423
2020-07-21,191.70199999999997
2020-07-22,26.562
2020-07-23,204.865
2020-07-24,1670.196
2020-07-25,500.839
2020-07-26,61.794
2020-07-27,107.114
2020-07-28,2844.979
2020-07-29,6079.702
2020-07-30,1864.588
2020-07-31,6120.959
2020-08-01,5731.701
2020-08-02,7755.99
2020-08-03,7569.65
2020-08-04,4162.796
2020-08-05,7012.763
2020-08-06,7061.448
2020-08-07,7002.892
2020-08-08,6973.804
2020-08-09,6770.125
2020-08-10,1971.253
2020-08-11,5027.217
2020-08-12,4182.981
2020-08-13,6524.0869999999995
2020-08-14,3701.552
2020-08-15,5978.171
2020-08-16,2973.319
2020-08-17,3314.663
2020-08-18,2444.197
2020-08-19,728.344
2020-08-20,3775.351
2020-08-21,1630.504
2020-08-22,1504.626
2020-08-23,132.062
2020-08-24,833.532
2020-08-25,2433.525
2020-08-26,1628.434
2020-08-27,2812.291
2020-08-28,261.771
2020-08-29,2048.843
2020-08-30,1965.452
2020-08-31,1069.163
2020-09-01,2494.659
2020-09-02,303.483
2020-09-03,1973.125
2020-09-04,968.2
2020-09-05,2788.559
2020-09-06,1763.845
2020-09-07,705.492
2020-09-08,2164.367
2020-09-09,485.383
2020-09-10,86.313
2020-09-11,540.289
2020-09-12,275.371
2020-09-13,1191.026
2020-09-14,2013.211
2020-09-15,2075.804
2020-09-16,1757.141
2020-09-17,298.941
2020-09-18,6.349
2020-09-19,48.074
2020-09-20,38.738
2020-09-21,53.603
2020-09-22,138.61
2020-09-23,97.401
2020-09-24,213.529
2020-09-25,170.728
2020-09-26,971.962
2020-09-27,518.111
2020-09-28,1081.732
2020-09-29,883.763
2020-09-30,724.203
2020-10-01,866.935
2020-10-02,1287.784
2020-10-03,1477.137
2020-10-04,1219.749
2020-10-05,1075.434
2020-10-06,910.4
2020-10-07,876.9449999999999
2020-10-08,901.111
2020-10-09,619.85
2020-10-10,1247.171
2020-10-11,747.848
2020-10-12,94.843
2020-10-13,88.453
2020-10-14,433.055
2020-10-15,1020.042
2020-10-16,150.102
2020-10-17,541.0169999999999
2020-10-18,1546.13
2020-10-19,775.705
2020-10-20,866.507
2020-10-21,942.279
2020-10-22,1176.576
2020-10-23,1174.17
2020-10-24,1080.739
2020-10-25,1303.108
2020-10-26,1060.824
2020-10-27,1209.169
2020-10-28,1590.301
2020-10-29,913.844
2020-10-30,1493.696
2020-10-31,2093.71
2020-11-01,1101.042
2020-11-02,232.845
2020-11-03,103.975
2020-11-04,337.043
2020-11-05,584.17
2020-11-06,1160.785
2020-11-07,1176.484
2020-11-08,1149.296
2020-11-09,162.513
2020-11-10,613.881
2020-11-11,985.66
2020-11-12,1411.098
2020-11-13,952.2479999999999
2020-11-14,3687.995
2020-11-15,3848.486
2020-11-16,1408.557
2020-11-17,2803.908
2020-11-18,337.83299999999997
2020-11-19,206.723
2020-11-20,137.526
2020-11-21,251.28400000000002
2020-11-22,699.59
2020-11-23,850.1990000000001
2020-11-24,1189.761
2020-11-25,399.286
2020-11-26,609.593
2020-11-27,667.004
2020-11-28,205.358
2020-11-29,180.656
2020-11-30,108.013
2020-12-01,468.954
2020-12-02,205.68099999999998
2020-12-03,142.079
2020-12-04,124.111
2020-12-05,369.093
2020-12-06,1380.231
2020-12-07,459.402
2020-12-08,2554.629
2020-12-09,3002.936
2020-12-10,432.296
2020-12-11,463.403
